month;GPR;SHARE_GPR;N10;GPRC_ARG;GPRC_AUS;GPRC_BEL;GPRC_BRA;GPRC_CAN;GPRC_CHE;GPRC_CHL;GPRC_CHN;GPRC_COL;GPRC_DEU;GPRC_DNK;GPRC_EGY;GPRC_ESP;GPRC_FIN;GPRC_FRA;GPRC_GBR;GPRC_HKG;GPRC_HUN;GPRC_IDN;GPRC_IND;GPRC_ISR;GPRC_ITA;GPRC_JPN;GPRC_KOR;GPRC_MEX;GPRC_MYS;GPRC_NLD;GPRC_NOR;GPRC_PER;GPRC_PHL;GPRC_POL;GPRC_PRT;GPRC_RUS;GPRC_SAU;GPRC_SWE;GPRC_THA;GPRC_TUN;GPRC_TUR;GPRC_TWN;GPRC_UKR;GPRC_USA;GPRC_VEN;GPRC_VNM;GPRC_ZAF;;;;;
01/11/2000;45,06;1,35;35959;0,01;0,03;0,04;0,02;0,08;0,03;0,01;0,16;0,04;0,10;0,01;0,15;0,06;0,02;0,24;0,51;0,01;0,01;0,04;0,11;0,41;0,05;0,11;0,10;0,03;0,05;0,04;0,08;0,05;0,03;0,01;0,01;0,29;0,11;0,03;0,02;0,02;0,08;0,02;0,01;0,95;0,03;0,03;0,03;;;;;27,26013744
01/12/2000;45,40;1,36;32389;0,02;0,02;0,06;0,02;0,11;0,04;0,02;0,18;0,06;0,10;0,02;0,09;0,06;0,01;0,17;0,44;0,00;0,01;0,04;0,16;0,31;0,06;0,06;0,11;0,09;0,04;0,02;0,07;0,02;0,01;0,01;0,02;0,32;0,11;0,03;0,01;0,01;0,08;0,03;0,03;0,98;0,04;0,02;0,06;;;;;29,67059133
01/01/2001;46,90;1,41;34549;0,01;0,02;0,05;0,03;0,09;0,03;0,02;0,26;0,08;0,09;0,00;0,10;0,05;0,00;0,26;0,56;0,01;0,01;0,03;0,15;0,27;0,05;0,08;0,12;0,04;0,01;0,03;0,02;0,03;0,01;0,03;0,01;0,39;0,07;0,05;0,03;0,01;0,06;0,08;0,03;1,02;0,04;0,02;0,04;;;;;43,32875392
01/02/2001;55,09;1,65;31653;0,02;0,01;0,08;0,04;0,14;0,06;0,02;0,31;0,06;0,15;0,02;0,19;0,06;0,01;0,36;0,89;0,01;0,01;0,05;0,17;0,36;0,04;0,10;0,12;0,10;0,02;0,04;0,04;0,02;0,02;0,02;0,02;0,44;0,15;0,04;0,02;0,01;0,14;0,03;0,03;1,17;0,01;0,01;0,03;;;;;52,50628522
01/03/2001;61,71;1,85;36523;0,02;0,04;0,09;0,01;0,11;0,02;0,02;0,26;0,05;0,17;0,01;0,06;0,04;0,02;0,28;0,71;0,02;0,00;0,04;0,10;0,32;0,05;0,15;0,21;0,06;0,02;0,05;0,05;0,01;0,02;0,01;0,01;0,35;0,07;0,09;0,02;0,01;0,11;0,13;0,05;1,19;0,02;0,01;0,03;;;;;43,13738282
01/04/2001;50,57;1,52;33163;0,02;0,02;0,05;0,03;0,12;0,02;0,02;0,40;0,06;0,12;0,01;0,12;0,04;0,00;0,21;0,40;0,02;0,01;0,03;0,09;0,30;0,04;0,12;0,10;0,05;0,01;0,07;0,07;0,03;0,04;0,01;0,00;0,28;0,05;0,01;0,01;0,00;0,02;0,25;0,02;1,14;0,02;0,02;0,02;;;;;67,08895754
01/05/2001;60,38;1,81;35120;0,00;0,04;0,07;0,02;0,15;0,03;0,01;0,33;0,07;0,19;0,02;0,10;0,05;0,02;0,29;0,68;0,01;0,06;0,03;0,12;0,30;0,06;0,12;0,20;0,03;0,02;0,04;0,03;0,03;0,04;0,02;0,01;0,51;0,05;0,06;0,01;0,00;0,11;0,07;0,02;1,28;0,01;0,01;0,03;;;;;55,6668955
01/06/2001;72,06;2,16;33588;0,02;0,04;0,20;0,03;0,11;0,01;0,01;0,29;0,02;0,23;0,03;0,08;0,15;0,01;0,38;0,82;0,01;0,08;0,03;0,12;0,43;0,09;0,11;0,19;0,05;0,09;0,05;0,06;0,04;0,16;0,10;0,01;0,45;0,16;0,13;0,01;0,01;0,09;0,04;0,04;1,51;0,01;0,01;0,04;;;;;47,68632838
01/07/2001;61,07;1,83;31881;0,03;0,08;0,09;0,02;0,15;0,02;0,01;0,31;0,05;0,24;0,02;0,04;0,05;0,01;0,29;0,70;0,02;0,03;0,04;0,17;0,30;0,24;0,18;0,13;0,06;0,01;0,05;0,02;0,02;0,03;0,03;0,01;0,51;0,06;0,03;0,01;0,01;0,06;0,05;0,02;1,32;0,00;0,02;0,05;;;;;51,71660222
01/08/2001;64,11;1,92;32088;0,01;0,05;0,07;0,02;0,12;0,03;0,01;0,22;0,10;0,17;0,02;0,09;0,07;0,04;0,24;0,73;0,01;0,03;0,05;0,12;0,53;0,12;0,06;0,11;0,07;0,01;0,06;0,11;0,01;0,03;0,02;0,02;0,33;0,06;0,01;0,01;0,01;0,06;0,03;0,04;1,35;0,02;0,02;0,07;;;;;36,2710121
01/09/2001;498,65;14,96;33230;0,13;0,34;0,65;0,21;1,72;0,51;0,05;0,77;0,21;1,55;0,05;0,70;0,40;0,08;1,75;5,99;0,26;0,03;0,21;0,94;1,34;0,52;1,24;0,45;0,46;0,14;0,39;0,11;0,10;0,17;0,10;0,04;1,70;1,44;0,15;0,12;0,04;0,35;0,16;0,03;13,23;0,06;0,12;0,13;;;;;127,8077682
01/10/2001;512,53;15,37;36259;0,11;0,40;0,46;0,12;1,55;0,51;0,04;0,66;0,11;1,21;0,05;0,62;0,34;0,08;1,43;5,90;0,18;0,04;0,27;0,95;1,44;0,62;0,91;0,27;0,35;0,25;0,36;0,15;0,04;0,18;0,07;0,04;1,82;1,07;0,12;0,09;0,07;0,33;0,17;0,12;13,10;0,07;0,10;0,13;;;;;109,4584343
01/11/2001;306,79;9,20;34385;0,08;0,18;0,26;0,12;0,81;0,22;0,06;0,36;0,06;0,85;0,05;0,29;0,27;0,07;0,97;2,81;0,07;0,04;0,18;0,57;0,68;0,32;0,52;0,23;0,23;0,08;0,20;0,13;0,06;0,19;0,10;0,04;1,38;0,55;0,10;0,04;0,03;0,34;0,08;0,02;7,89;0,04;0,03;0,13;;;;;59,90498903
01/12/2001;236,10;7,08;31335;0,11;0,14;0,24;0,08;0,46;0,11;0,03;0,39;0,06;0,52;0,03;0,29;0,15;0,04;0,69;2,15;0,06;0,04;0,10;0,74;1,06;0,25;0,38;0,23;0,18;0,05;0,11;0,13;0,04;0,09;0,05;0,02;0,90;0,38;0,05;0,06;0,04;0,19;0,08;0,03;6,05;0,03;0,03;0,08;;;;;64,58505554
01/01/2002;172,48;5,17;32842;0,10;0,11;0,12;0,06;0,37;0,16;0,02;0,34;0,17;0,37;0,04;0,17;0,14;0,03;0,59;1,64;0,05;0,02;0,09;0,81;0,60;0,15;0,35;0,18;0,14;0,08;0,15;0,06;0,04;0,13;0,02;0,01;0,46;0,24;0,05;0,05;0,03;0,13;0,05;0,02;4,23;0,03;0,04;0,06;;;;;56,50032958
01/02/2002;146,19;4,38;31861;0,13;0,09;0,11;0,08;0,32;0,09;0,02;0,37;0,17;0,36;0,03;0,14;0,15;0,03;0,45;1,46;0,06;0,01;0,08;0,32;0,61;0,13;0,30;0,53;0,12;0,05;0,09;0,06;0,03;0,17;0,03;0,05;0,52;0,29;0,07;0,05;0,03;0,14;0,07;0,01;3,62;0,07;0,03;0,10;;;;;61,78533741
01/03/2002;151,98;4,56;34530;0,06;0,16;0,10;0,06;0,40;0,09;0,01;0,28;0,17;0,37;0,05;0,28;0,14;0,01;0,49;1,49;0,03;0,01;0,07;0,22;1,09;0,19;0,17;0,32;0,21;0,02;0,07;0,15;0,08;0,14;0,03;0,01;0,60;0,54;0,05;0,02;0,01;0,15;0,06;0,02;3,86;0,03;0,05;0,10;;;;;46,88579994
01/04/2002;157,50;4,72;32600;0,06;0,08;0,13;0,04;0,38;0,11;0,02;0,17;0,14;0,38;0,05;0,40;0,25;0,04;0,53;1,60;0,03;0,01;0,07;0,19;1,84;0,23;0,19;0,17;0,12;0,05;0,12;0,24;0,02;0,09;0,03;0,04;0,54;0,57;0,06;0,03;0,07;0,13;0,03;0,02;3,84;0,15;0,04;0,06;;;;;27,81888479
01/05/2002;163,32;4,90;33601;0,04;0,13;0,11;0,03;0,38;0,08;0,01;0,28;0,15;0,43;0,03;0,18;0,21;0,02;0,59;1,72;0,04;0,03;0,06;0,71;0,92;0,31;0,29;0,23;0,08;0,04;0,13;0,09;0,03;0,08;0,04;0,03;0,84;0,25;0,04;0,04;0,03;0,09;0,05;0,01;4,09;0,05;0,03;0,05;;;;;45,52093818
01/06/2002;149,33;4,48;32418;0,03;0,11;0,12;0,03;0,52;0,08;0,01;0,23;0,05;0,39;0,05;0,25;0,14;0,02;0,57;1,50;0,03;0,02;0,03;0,90;0,86;0,18;0,35;0,15;0,08;0,07;0,12;0,11;0,02;0,08;0,02;0,02;0,72;0,27;0,04;0,01;0,05;0,08;0,03;0,01;3,67;0,04;0,00;0,10;;;;;36,96348723
01/07/2002;122,78;3,68;31581;0,03;0,06;0,09;0,03;0,33;0,07;0,01;0,18;0,05;0,28;0,03;0,16;0,16;0,01;0,49;1,21;0,04;0,02;0,04;0,33;0,60;0,11;0,22;0,19;0,12;0,06;0,06;0,04;0,00;0,09;0,03;0,02;0,38;0,17;0,08;0,07;0,01;0,14;0,05;0,02;2,95;0,01;0,01;0,06;;;;;29,04145044
01/08/2002;127,06;3,81;30988;0,04;0,07;0,05;0,06;0,24;0,06;0,02;0,26;0,08;0,32;0,03;0,18;0,11;0,01;0,37;1,31;0,01;0,01;0,04;0,27;0,65;0,08;0,22;0,24;0,11;0,04;0,05;0,04;0,01;0,07;0,02;0,02;0,55;0,38;0,05;0,03;0,02;0,18;0,05;0,02;3,13;0,04;0,04;0,10;;;;;42,17406961
01/09/2002;174,90;5,25;32558;0,06;0,10;0,09;0,07;0,48;0,10;0,02;0,51;0,09;0,59;0,08;0,27;0,11;0,02;1,03;2,34;0,05;0,02;0,09;0,25;0,80;0,16;0,39;0,22;0,14;0,06;0,10;0,08;0,01;0,06;0,09;0,01;1,04;0,52;0,04;0,06;0,02;0,23;0,06;0,07;4,39;0,04;0,05;0,18;;;;;83,11774125
01/10/2002;172,03;5,16;35679;0,05;0,27;0,15;0,10;0,39;0,09;0,02;0,59;0,07;0,41;0,10;0,16;0,11;0,03;1,11;1,96;0,07;0,03;0,51;0,28;0,51;0,12;0,55;0,57;0,30;0,24;0,10;0,05;0,01;0,23;0,06;0,03;1,21;0,27;0,08;0,10;0,04;0,19;0,07;0,03;4,16;0,06;0,05;0,08;;;;;96,80571697
01/11/2002;159,13;4,77;33942;0,04;0,24;0,14;0,02;0,41;0,10;0,04;0,36;0,05;0,44;0,09;0,24;0,09;0,02;0,85;1,90;0,04;0,04;0,22;0,19;0,60;0,13;0,32;0,37;0,17;0,10;0,09;0,05;0,03;0,07;0,09;0,01;0,95;0,34;0,08;0,07;0,07;0,22;0,04;0,06;3,70;0,04;0,04;0,05;;;;;59,03302536
01/12/2002;175,81;5,27;31233;0,05;0,21;0,13;0,08;0,45;0,10;0,04;0,48;0,09;0,48;0,12;0,19;0,17;0,03;0,78;2,06;0,05;0,04;0,18;0,30;0,69;0,08;0,63;0,84;0,11;0,06;0,11;0,07;0,02;0,12;0,04;0,04;0,90;0,34;0,06;0,06;0,04;0,31;0,04;0,03;4,33;0,33;0,02;0,08;;;;;78,63968093
01/01/2003;206,43;6,19;33593;0,04;0,18;0,16;0,10;0,50;0,25;0,04;0,82;0,06;0,83;0,06;0,28;0,28;0,04;1,29;2,75;0,08;0,08;0,09;0,29;0,65;0,23;0,76;1,24;0,28;0,07;0,14;0,07;0,02;0,05;0,08;0,07;1,16;0,42;0,09;0,04;0,02;0,43;0,05;0,04;4,97;0,27;0,04;0,10;;;;;133,052412
01/02/2003;239,61;7,19;31335;0,06;0,29;0,36;0,08;0,53;0,14;0,14;0,94;0,14;1,29;0,05;0,26;0,54;0,05;1,73;3,60;0,07;0,04;0,17;0,25;0,72;0,34;0,75;1,03;0,27;0,09;0,22;0,05;0,01;0,11;0,05;0,06;1,33;0,37;0,08;0,07;0,01;0,63;0,08;0,03;5,82;0,28;0,06;0,11;;;;;153,7194838
01/03/2003;358,71;10,76;36081;0,08;0,40;0,27;0,04;0,84;0,22;0,29;0,81;0,11;1,59;0,04;0,47;0,80;0,06;2,36;5,56;0,12;0,04;0,17;0,33;1,11;0,38;0,81;0,87;0,44;0,10;0,21;0,07;0,02;0,21;0,08;0,12;1,70;0,75;0,06;0,10;0,06;1,20;0,06;0,03;9,00;0,19;0,16;0,09;;;;;131,5052427
01/04/2003;255,78;7,67;34308;0,07;0,24;0,25;0,08;0,55;0,12;0,04;0,89;0,04;0,98;0,03;0,36;0,26;0,03;1,35;3,62;0,31;0,03;0,10;0,21;0,82;0,28;0,66;0,81;0,19;0,06;0,16;0,05;0,04;0,10;0,08;0,03;1,16;0,42;0,05;0,09;0,04;0,64;0,07;0,04;6,59;0,09;0,10;0,08;;;;;145,1242994
01/05/2003;162,12;4,86;35022;0,02;0,21;0,13;0,05;0,50;0,10;0,02;0,47;0,08;0,51;0,05;0,25;0,25;0,02;0,84;2,01;0,08;0,02;0,15;0,29;0,78;0,13;0,31;0,45;0,14;0,06;0,08;0,07;0,02;0,11;0,11;0,01;0,93;0,68;0,03;0,03;0,03;0,17;0,07;0,02;4,00;0,02;0,03;0,08;;;;;76,10470245
01/06/2003;145,77;4,37;33187;0,03;0,14;0,10;0,05;0,30;0,06;0,02;0,45;0,05;0,41;0,04;0,25;0,15;0,02;0,75;1,71;0,05;0,01;0,13;0,24;0,71;0,18;0,39;0,56;0,09;0,10;0,11;0,07;0,02;0,05;0,10;0,04;0,60;0,26;0,03;0,11;0,05;0,15;0,04;0,04;3,55;0,04;0,04;0,05;;;;;73,8415883
01/07/2003;134,90;4,05;32599;0,04;0,08;0,08;0,06;0,21;0,05;0,02;0,39;0,05;0,23;0,02;0,09;0,10;0,01;0,44;1,46;0,06;0,02;0,08;0,28;0,45;0,16;0,38;0,47;0,07;0,07;0,05;0,06;0,03;0,06;0,03;0,02;0,35;0,27;0,02;0,05;0,01;0,13;0,02;0,02;3,41;0,03;0,02;0,13;;;;;63,08393544
01/08/2003;138,23;4,15;32175;0,02;0,16;0,05;0,06;0,31;0,11;0,00;0,40;0,06;0,33;0,03;0,10;0,12;0,02;0,55;1,47;0,03;0,03;0,19;0,28;0,64;0,14;0,41;0,47;0,11;0,06;0,13;0,05;0,01;0,11;0,06;0,04;0,65;0,26;0,01;0,06;0,01;0,16;0,04;0,03;3,36;0,03;0,02;0,07;;;;;65,85291214
01/09/2003;118,20;3,55;33990;0,05;0,14;0,11;0,04;0,19;0,05;0,03;0,30;0,07;0,46;0,03;0,08;0,14;0,02;0,63;1,37;0,06;0,02;0,10;0,31;0,46;0,12;0,26;0,37;0,13;0,03;0,06;0,06;0,01;0,05;0,08;0,03;0,51;0,16;0,04;0,06;0,02;0,18;0,02;0,01;2,82;0,04;0,04;0,04;;;;;48,36833796
01/10/2003;108,32;3,25;37090;0,03;0,12;0,08;0,04;0,20;0,04;0,04;0,35;0,04;0,40;0,02;0,14;0,20;0,04;0,49;1,10;0,04;0,01;0,14;0,21;0,47;0,08;0,32;0,42;0,14;0,06;0,06;0,04;0,02;0,08;0,05;0,02;0,56;0,19;0,03;0,19;0,01;0,18;0,04;0,05;2,64;0,03;0,03;0,03;;;;;57,37951194
01/11/2003;118,09;3,54;33231;0,02;0,17;0,12;0,04;0,25;0,06;0,02;0,29;0,05;0,45;0,02;0,18;0,15;0,03;0,47;1,49;0,04;0,01;0,10;0,19;0,41;0,27;0,33;0,29;0,10;0,02;0,06;0,03;0,02;0,04;0,06;0,04;0,39;0,30;0,02;0,05;0,03;0,51;0,06;0,02;2,87;0,02;0,06;0,03;;;;;46,36810721
01/12/2003;129,47;3,88;31392;0,02;0,10;0,11;0,05;0,32;0,06;0,02;0,47;0,07;0,38;0,00;0,16;0,15;0,00;0,61;1,31;0,04;0,00;0,06;0,25;0,46;0,18;0,43;0,52;0,14;0,02;0,05;0,03;0,03;0,05;0,08;0,01;0,49;0,25;0,05;0,05;0,04;0,25;0,16;0,02;3,16;0,01;0,03;0,05;;;;;75,28092296
01/01/2004;113,47;3,40;33526;0,03;0,07;0,07;0,10;0,28;0,11;0,03;0,36;0,04;0,27;0,03;0,16;0,10;0,01;0,52;1,29;0,04;0,00;0,06;0,32;0,43;0,16;0,28;0,40;0,33;0,04;0,09;0,03;0,02;0,03;0,03;0,04;0,33;0,18;0,05;0,04;0,02;0,13;0,05;0,01;2,69;0,02;0,02;0,05;;;;;58,84614654
01/02/2004;115,08;3,45;32449;0,02;0,08;0,09;0,05;0,22;0,07;0,02;0,39;0,03;0,30;0,03;0,07;0,08;0,02;0,52;1,18;0,02;0,01;0,08;0,25;0,31;0,11;0,34;0,55;0,07;0,08;0,12;0,03;0,01;0,03;0,06;0,02;0,50;0,14;0,02;0,04;0,02;0,15;0,04;0,04;2,82;0,02;0,02;0,04;;;;;62,69346885
01/03/2004;138,53;4,16;34969;0,03;0,14;0,20;0,05;0,29;0,17;0,04;0,32;0,02;0,59;0,03;0,15;1,15;0,04;0,78;1,76;0,05;0,01;0,08;0,26;0,49;0,22;0,29;0,30;0,12;0,08;0,18;0,04;0,02;0,07;0,14;0,03;0,42;0,18;0,03;0,06;0,03;0,23;0,13;0,03;3,17;0,08;0,02;0,07;;;;;52,09825828
01/04/2004;149,63;4,49;33556;0,01;0,18;0,12;0,07;0,35;0,09;0,01;0,45;0,03;0,41;0,04;0,15;0,66;0,01;0,63;1,67;0,06;0,02;0,12;0,19;0,49;0,29;0,51;0,34;0,10;0,08;0,09;0,02;0,02;0,08;0,15;0,03;0,42;0,33;0,04;0,08;0,06;0,26;0,09;0,10;3,55;0,02;0,07;0,05;;;;;71,93552986
01/05/2004;121,09;3,63;34086;0,02;0,06;0,09;0,06;0,22;0,08;0,01;0,42;0,06;0,30;0,02;0,21;0,28;0,03;0,38;1,23;0,04;0,01;0,07;0,19;0,38;0,16;0,24;0,21;0,10;0,04;0,11;0,02;0,04;0,02;0,07;0,02;0,32;0,29;0,03;0,04;0,03;0,11;0,06;0,01;2,88;0,05;0,04;0,07;;;;;66,96697454
01/06/2004;137,23;4,12;33502;0,01;0,08;0,14;0,05;0,31;0,06;0,02;0,45;0,03;0,53;0,02;0,17;0,19;0,01;0,61;1,37;0,03;0,01;0,14;0,24;0,26;0,21;0,33;0,42;0,10;0,05;0,11;0,07;0,02;0,04;0,06;0,03;0,58;0,56;0,03;0,04;0,01;0,31;0,03;0,01;3,36;0,06;0,03;0,05;;;;;71,88013566
01/07/2004;131,02;3,93;33157;0,01;0,11;0,10;0,04;0,23;0,03;0,01;0,31;0,03;0,22;0,01;0,27;0,17;0,01;0,42;1,26;0,03;0,02;0,12;0,29;0,39;0,14;0,20;0,32;0,13;0,06;0,08;0,02;0,02;0,26;0,05;0,02;0,37;0,33;0,01;0,04;0,02;0,16;0,04;0,02;3,18;0,02;0,05;0,05;;;;;49,3326729
01/08/2004;140,37;4,21;32897;0,02;0,08;0,03;0,06;0,19;0,08;0,03;0,26;0,05;0,29;0,02;0,18;0,16;0,03;0,48;1,41;0,03;0,01;0,05;0,15;0,30;0,14;0,20;0,21;0,13;0,04;0,11;0,03;0,01;0,05;0,03;0,00;0,54;0,19;0,03;0,04;0,01;0,19;0,02;0,04;3,45;0,10;0,04;0,11;;;;;42,3259992
01/09/2004;153,87;4,62;33433;0,04;0,15;0,09;0,07;0,19;0,03;0,01;0,42;0,02;0,39;0,02;0,21;0,18;0,03;0,81;1,57;0,01;0,01;0,10;0,24;0,51;0,23;0,26;0,42;0,13;0,02;0,12;0,03;0,01;0,05;0,04;0,01;0,99;0,26;0,02;0,03;0,02;0,22;0,03;0,03;3,51;0,02;0,05;0,05;;;;;67,82165028
01/10/2004;119,86;3,60;34936;0,01;0,15;0,08;0,07;0,19;0,03;0,00;0,33;0,02;0,31;0,02;0,16;0,16;0,01;0,49;1,14;0,02;0,02;0,11;0,12;0,34;0,16;0,24;0,26;0,10;0,03;0,10;0,03;0,02;0,02;0,08;0,01;0,49;0,14;0,03;0,05;0,03;0,17;0,05;0,03;2,94;0,01;0,03;0,04;;;;;52,95243724
01/11/2004;122,71;3,68;33311;0,02;0,09;0,14;0,07;0,22;0,05;0,11;0,36;0,05;0,56;0,02;0,21;0,16;0,02;0,95;1,50;0,03;0,03;0,05;0,19;0,42;0,11;0,19;0,26;0,11;0,02;0,09;0,07;0,02;0,07;0,10;0,02;0,50;0,14;0,03;0,05;0,03;0,16;0,05;0,12;2,97;0,04;0,04;0,12;;;;;57,82099522
01/12/2004;109,90;3,30;31491;0,03;0,10;0,13;0,07;0,29;0,06;0,03;0,41;0,02;0,36;0,04;0,17;0,09;0,02;0,41;0,99;0,06;0,00;0,13;0,23;0,32;0,13;0,24;0,22;0,12;0,06;0,10;0,05;0,02;0,04;0,04;0,02;0,38;0,20;0,04;0,12;0,02;0,15;0,12;0,16;2,58;0,02;0,03;0,08;;;;;65,0967063
01/01/2005;100,89;3,03;33146;0,02;0,16;0,12;0,06;0,17;0,05;0,01;0,45;0,04;0,28;0,03;0,15;0,13;0,03;0,42;1,03;0,05;0,02;0,24;0,24;0,40;0,12;0,21;0,23;0,11;0,04;0,09;0,06;0,06;0,03;0,06;0,01;0,33;0,19;0,04;0,16;0,01;0,09;0,10;0,07;2,46;0,05;0,04;0,03;;;;;71,81374003
01/02/2005;108,98;3,27;31083;0,01;0,07;0,33;0,03;0,20;0,05;0,01;0,63;0,07;0,53;0,02;0,29;0,10;0,01;0,70;1,21;0,02;0,01;0,07;0,17;0,54;0,16;0,31;0,44;0,08;0,03;0,09;0,03;0,02;0,05;0,08;0,03;0,52;0,12;0,02;0,05;0,02;0,13;0,16;0,11;2,62;0,03;0,02;0,04;;;;;99,441073
01/03/2005;90,41;2,71;34922;0,03;0,06;0,14;0,07;0,20;0,03;0,02;0,53;0,04;0,28;0,02;0,17;0,09;0,01;0,53;1,00;0,04;0,02;0,04;0,21;0,33;0,13;0,21;0,32;0,09;0,01;0,05;0,02;0,01;0,05;0,03;0,02;0,49;0,14;0,03;0,04;0,02;0,05;0,21;0,12;2,12;0,03;0,02;0,05;;;;;83,96859639
01/04/2005;87,03;2,61;33979;0,01;0,08;0,10;0,04;0,16;0,03;0,01;0,36;0,04;0,24;0,04;0,07;0,11;0,02;0,35;0,84;0,01;0,02;0,05;0,23;0,19;0,11;0,16;0,20;0,07;0,01;0,08;0,02;0,01;0,04;0,05;0,02;0,26;0,07;0,03;0,04;0,01;0,09;0,09;0,06;1,94;0,02;0,03;0,08;;;;;57,80593658
01/05/2005;98,21;2,95;33440;0,02;0,07;0,14;0,06;0,16;0,03;0,02;0,41;0,04;0,38;0,02;0,09;0,09;0,03;0,62;1,09;0,03;0,01;0,06;0,16;0,25;0,11;0,28;0,44;0,13;0,01;0,14;0,01;0,02;0,03;0,05;0,01;0,42;0,09;0,02;0,04;0,02;0,10;0,05;0,04;2,28;0,04;0,02;0,02;;;;;65,25696473
01/06/2005;81,12;2,43;33207;0,02;0,09;0,18;0,04;0,13;0,03;0,01;0,39;0,04;0,26;0,03;0,11;0,08;0,01;0,38;0,76;0,03;0,00;0,06;0,19;0,21;0,10;0,22;0,27;0,05;0,03;0,15;0,03;0,01;0,03;0,04;0,02;0,30;0,13;0,02;0,05;0,01;0,17;0,06;0,04;1,93;0,03;0,04;0,04;;;;;61,34175141
01/07/2005;165,90;4,98;32757;0,02;0,18;0,13;0,15;0,35;0,08;0,02;0,72;0,03;0,41;0,09;0,39;0,73;0,03;0,59;3,10;0,05;0,01;0,10;0,37;0,49;0,28;0,45;0,41;0,15;0,04;0,17;0,03;0,02;0,05;0,05;0,02;0,58;0,19;0,03;0,08;0,02;0,27;0,13;0,03;3,49;0,02;0,04;0,08;;;;;114,0643598
01/08/2005;116,23;3,49;30894;0,02;0,10;0,04;0,12;0,19;0,03;0,01;0,39;0,06;0,42;0,04;0,17;0,11;0,02;0,50;1,70;0,03;0,00;0,06;0,21;0,41;0,18;0,23;0,24;0,10;0,03;0,05;0,04;0,02;0,05;0,03;0,02;0,41;0,29;0,02;0,03;0,01;0,11;0,02;0,02;2,49;0,06;0,04;0,05;;;;;62,29366646
01/09/2005;103,81;3,11;34237;0,02;0,07;0,09;0,05;0,17;0,03;0,01;0,50;0,02;0,38;0,01;0,14;0,10;0,02;0,41;1,32;0,05;0,01;0,04;0,26;0,22;0,07;0,26;0,32;0,13;0,02;0,07;0,03;0,02;0,03;0,03;0,01;0,47;0,11;0,02;0,04;0,02;0,15;0,06;0,04;2,36;0,05;0,02;0,05;;;;;78,66465882
